Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
KKR,CV Varun,2021-2024,57,56,209.4,1,1611,65,4/15,24.78,7.68,19.3,1,0
KKR,AD Russell,2021-2024,53,44,91.4,0,933,54,5/15,17.27,10.17,10.1,1,1
KKR,SP Narine,2021-2024,57,56,215.0,0,1424,53,4/21,26.86,6.62,24.3,1,0
KKR,Harshit Rana,2022-2024,21,19,64.1,1,581,25,3/24,23.24,9.05,15.4,0,0
KKR,TG Southee,2021-2023,14,14,53.0,0,449,19,3/20,23.63,8.47,16.7,0,0
KKR,MA Starc,2024-2024,14,13,41.5,0,444,17,4/33,26.11,10.61,14.7,1,0
KKR,UT Yadav,2022-2023,20,20,67.0,2,528,17,4/23,31.05,7.88,23.6,1,0
KKR,VG Arora,2023-2024,15,15,46.0,0,422,16,3/27,26.37,9.17,17.2,0,0
KKR,PJ Cummins,2021-2022,12,12,46.4,0,449,16,3/22,28.06,9.62,17.5,0,0
KKR,Shivam Mavi,2021-2022,15,15,54.1,0,460,16,4/21,28.75,8.49,20.3,1,0
KKR,LH Ferguson,2021-2023,11,11,37.4,0,320,14,3/18,22.85,8.49,16.1,0,0
KKR,M Prasidh Krishna,2021-2021,10,10,38.3,0,351,12,3/30,29.25,9.11,19.2,0,0
KKR,Suyash Sharma,2023-2024,13,13,43.0,0,372,10,3/30,37.2,8.65,25.8,0,0
KKR,SN Thakur,2023-2023,11,9,21.0,0,220,7,2/23,31.42,10.47,18.0,0,0
KKR,AS Roy,2022-2024,10,8,20.4,0,180,4,2/19,45.0,8.7,31.0,0,0
KKR,Shakib Al Hasan,2021-2021,8,8,26.0,0,187,4,1/1,46.75,7.19,39.0,0,0
KKR,VR Iyer,2021-2024,51,9,13.3,0,143,3,2/29,47.66,10.59,27.0,0,0
KKR,N Rana,2021-2024,47,10,12.5,0,110,3,2/17,36.66,8.57,25.6,0,0
KKR,K Khejroliya,2023-2023,2,2,4.2,0,64,2,2/44,32.0,14.76,13.0,0,0
KKR,Aman Hakim Khan,2022-2022,1,1,1.0,0,13,0,,,13.0,,0,0
KKR,PVD Chameera,2024-2024,1,1,3.0,0,48,0,,,16.0,,0,0
KKR,Harbhajan Singh,2021-2021,3,3,7.0,0,63,0,,,9.0,,0,0
KKR,SS Iyer,2022-2024,29,1,1.0,0,7,0,,,7.0,,0,0
KKR,KL Nagarkoti,2021-2021,1,1,2.0,0,25,0,,,12.5,,0,0
KKR,Ramandeep Singh,2024-2024,15,1,0.4,0,9,0,,,13.5,,0,0
KKR,Rasikh Salam,2022-2022,2,2,4.0,0,28,0,,,7.0,,0,0
KKR,S Sandeep Warrier,2021-2021,1,1,2.0,0,15,0,,,7.5,,0,0
KKR,D Wiese,2023-2023,3,1,3.0,0,38,0,,,12.66,,0,0
KKR,SW Billings,2022-2022,8,,,,,,,,,,,
KKR,AJ Finch,2022-2022,5,,,,,,,,,,,
KKR,B Indrajith,2022-2022,3,,,,,,,,,,,
KKR,SP Jackson,2022-2022,5,,,,,,,,,,,
KKR,N Jagadeesan,2023-2023,6,,,,,,,,,,,
KKR,KD Karthik,2021-2021,17,,,,,,,,,,,
KKR,Litton Das,2023-2023,1,,,,,,,,,,,
KKR,Mandeep Singh,2023-2023,3,,,,,,,,,,,
KKR,EJG Morgan,2021-2021,17,,,,,,,,,,,
KKR,MK Pandey,2024-2024,1,,,,,,,,,,,
KKR,A Raghuvanshi,2024-2024,10,,,,,,,,,,,
KKR,AM Rahane,2022-2022,7,,,,,,,,,,,
KKR,Rahmanullah Gurbaz,2023-2024,14,,,,,,,,,,,
KKR,JJ Roy,2023-2023,8,,,,,,,,,,,
KKR,PD Salt,2024-2024,12,,,,,,,,,,,
KKR,TL Seifert,2021-2021,1,,,,,,,,,,,
KKR,Shubman Gill,2021-2021,17,,,,,,,,,,,
KKR,RK Singh,2022-2024,36,,,,,,,,,,,
KKR,A Tomar,2022-2022,1,,,,,,,,,,,
KKR,RA Tripathi,2021-2021,17,,,,,,,,,,,
CSK,RA Jadeja,2021-2024,56,56,186.0,1,1394,46,3/13,30.3,7.49,24.2,0,0
CSK,TU Deshpande,2022-2024,31,31,111.5,0,1051,39,4/27,26.94,9.39,17.2,1,0
CSK,M Pathirana,2022-2024,20,20,75.1,0,592,34,4/28,17.41,7.87,13.2,1,0
CSK,DL Chahar,2021-2024,33,33,111.3,1,950,32,4/13,29.68,8.52,20.9,2,0
CSK,DJ Bravo,2021-2022,21,21,68.0,1,562,30,3/20,18.73,8.26,13.6,0,0
CSK,SN Thakur,2021-2024,25,25,91.3,1,836,26,3/28,32.15,9.13,21.1,0,0
CSK,MM Ali,2021-2024,48,35,83.1,0,585,25,4/26,23.4,7.03,19.9,1,0
CSK,M Theekshana,2022-2024,27,27,104.0,1,797,25,4/33,31.88,7.66,24.9,1,0
CSK,Mukesh Choudhary,2022-2024,14,14,46.3,0,451,16,4/46,28.18,9.69,17.4,1,0
CSK,Mustafizur Rahman,2024-2024,9,9,34.2,1,318,14,4/29,22.71,9.26,14.7,1,0
CSK,JR Hazlewood,2021-2021,9,9,35.0,0,293,11,3/24,26.63,8.37,19.0,0,0
